NFT,2週目,3週目,4週目,5週目,6週目,7週目,8週目,9週目,10週目,11週目,12週目,13週目,14週目,15週目,16週目,17週目,18週目,19週目,20週目
,2025/2/10~14,2025/2/17~21,2025/2/24~28,2025/3/3~7,2025/3/10~14,2025/3/17~21,2025/3/24~28,2025/3/31~4/4,2025/4/7~4/11,2025/4/14~4/18,2025/4/21~4/25,2025/5/7~5/9,2025/5/12~5/16,2025/5/19~5/23,2025/5/26~5/30,2025/6/2~6/6,2025/6/9~6/13,2025/6/16~6/20,2025/6/23~6/27
SHOGUN NFT 100,1.8,2.2,1.1,0.38,1.28,1.1,1.6,1.08,0.64,0.87,1.01,0.85,0.99,1.39,1.26,1.4,1.23,0.97,
SHOGUN NFT 200,1.8,2.2,1.1,0.38,1.28,1.1,1.6,1.08,0.64,0.87,1.01,0.85,0.99,1.39,1.26,1.4,1.23,0.97,
SHOGUN NFT 300,1.8,2.2,1.1,0.38,1.28,1.1,1.6,1.08,0.64,0.87,1.01,0.85,0.99,1.39,1.26,1.4,1.23,0.97,
SHOGUN NFT 500,1.8,2.2,1.1,0.38,1.28,1.1,1.6,1.08,0.64,0.87,1.01,0.85,0.99,1.39,1.26,1.4,1.23,0.97,
SHOGUN NFT 600,1.8,2.2,1.1,0.38,1.28,1.1,1.6,1.08,0.64,0.87,1.01,0.85,0.99,1.39,1.26,1.4,1.23,0.97,
SHOGUN NFT 1000 (Special),3.12,3.814,2.5,0.38,1.58,2.11,2.85,1.88,1.39,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17,
SHOGUN NFT 1000,0,3.564,2.5,0.38,1.58,2,2.65,1.88,1.14,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17,
SHOGUN NFT 1177,2.87,3.564,2.5,0.38,1.58,2,2.65,1.88,1.14,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17,
SHOGUN NFT 1200,2.87,3.564,2.5,0.38,1.58,2,2.65,1.88,1.14,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17,
SHOGUN NFT 1217,2.87,3.564,2.5,0.38,1.58,2,2.65,1.88,1.14,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17,
SHOGUN NFT 1227,2.87,3.564,2.5,0.38,1.58,2,2.65,1.88,1.14,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17,
SHOGUN NFT 1300,2.87,3.564,2.5,0.38,1.58,2,2.65,1.88,1.14,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17,
SHOGUN NFT 1350,2.87,3.564,2.5,0.38,1.58,2,2.65,1.88,1.14,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17,
SHOGUN NFT 1500,2.87,3.564,2.5,0.38,1.58,2,2.65,1.88,1.14,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17,
SHOGUN NFT 1600,2.87,3.564,2.5,0.38,1.58,2,2.65,1.88,1.14,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17,
SHOGUN NFT 1836,2.87,3.564,2.5,0.38,1.58,2,2.65,1.88,1.14,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17,
SHOGUN NFT 2000,2.87,3.564,2.5,0.38,1.58,2,2.65,1.88,1.14,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17,
SHOGUN NFT 3000,2.87,3.564,2.5,0.38,1.58,2,2.65,1.88,1.14,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17,
SHOGUN NFT 3175,2.87,3.564,2.5,0.38,1.58,2,2.65,1.88,1.14,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17,
SHOGUN NFT 4000,2.87,3.564,2.5,0.38,1.58,2,2.65,1.88,1.14,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17,
SHOGUN NFT 5000,2.87,3.564,2.5,0.38,1.58,2,2.65,1.88,1.14,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17,
SHOGUN NFT 6600,2.87,3.564,2.5,0.38,1.58,2,2.65,1.88,1.14,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17,
SHOGUN NFT 8000,2.87,3.564,2.5,0.38,1.58,2,2.65,1.88,1.14,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17,
SHOGUN NFT 10000,3.12,3.814,2.5,0.38,1.58,2.11,2.85,1.88,1.39,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17,
SHOGUN NFT 100000,0,0,0,0,0,0,0,0,1.46,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17,
