何週目？,NFT,2週目,3週目,4週目,5週目,6週目,7週目,8週目,9週目,10週目,11週目,12週目,13週目,14週目,15週目,16週目,17週目,18週目,
25,SHOGUN NFT 100000,0,0,0,0,0,0,0,0,1.46,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17
24,SHOGUN NFT 30000,0,0,0,0,0,0,0,0,1.46,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17
23,SHOGUN NFT 10000,0,0,0,0,0,0,0,0,1.46,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17
22,SHOGUN NFT 8000,0,0,0,0,0,0,0,0,1.46,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17
21,SHOGUN NFT 6600,0,0,0,0,0,0,0,0,1.46,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17
20,SHOGUN NFT 5000,0,0,0,0,0,0,0,0,1.46,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17
19,SHOGUN NFT 4000,0,0,0,0,0,0,0,0,1.46,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17
18,SHOGUN NFT 3175,0,0,0,0,0,0,0,0,1.46,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17
17,SHOGUN NFT 3000,0,0,0,0,0,0,0,0,1.46,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17
16,SHOGUN NFT 2100,0,0,0,0,0,0,0,0,1.46,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17
15,SHOGUN NFT 2000,0,0,0,0,0,0,0,0,1.46,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17
14,SHOGUN NFT 1836,0,0,0,0,0,0,0,0,1.46,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17
13,SHOGUN NFT 1600,0,0,0,0,0,0,0,0,1.46,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17
12,SHOGUN NFT 1500,0,0,0,0,0,0,0,0,1.46,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17
11,SHOGUN NFT 1350,0,0,0,0,0,0,0,0,1.46,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17
10,SHOGUN NFT 1300,0,0,0,0,0,0,0,0,1.46,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17
9,SHOGUN NFT 1227,0,0,0,0,0,0,0,0,1.46,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17
8,SHOGUN NFT 1217,0,0,0,0,0,0,0,0,1.46,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17
7,SHOGUN NFT 1200,0,0,0,0,0,0,0,0,1.46,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17
6,SHOGUN NFT 1177,0,0,0,0,0,0,0,0,1.46,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17
5,SHOGUN NFT 1100,0,0,0,0,0,0,0,0,1.46,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17
4,SHOGUN NFT 1000,0,0,0,0,0,0,0,0,1.46,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17
3,SHOGUN NFT 600,0,0,0,0,0,0,0,0,1.46,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17
2,SHOGUN NFT 500,0,0,0,0,0,0,0,0,1.46,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17
1,SHOGUN NFT 300,0,0,0,0,0,0,0,0,1.46,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17
26,SHOGUN NFT 200,0,0,0,0,0,0,0,0,1.46,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17
27,SHOGUN NFT 100,0,0,0,0,0,0,0,0,1.46,1.37,1.51,0.85,1.49,1.89,1.76,2.02,2.23,1.17
